127.0.0.1, 2018-10-24 19:37:42, GET, /, HTTP/1.1, 303, 0.037726
127.0.0.1, 2018-10-24 19:37:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.705328
127.0.0.1, 2018-10-24 19:37:43, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002888
127.0.0.1, 2018-10-24 19:37:43, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002168
127.0.0.1, 2018-10-24 19:37:43, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003370
127.0.0.1, 2018-10-24 19:37:43, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002102
127.0.0.1, 2018-10-24 19:37:43, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004915
127.0.0.1, 2018-10-24 19:37:43, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000963
127.0.0.1, 2018-10-24 19:37:43, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.011713
127.0.0.1, 2018-10-24 19:37:43, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000736
127.0.0.1, 2018-10-24 19:37:43, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000770
127.0.0.1, 2018-10-24 19:37:44, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000459
127.0.0.1, 2018-10-24 19:37:44, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001469
127.0.0.1, 2018-10-24 19:38:06, GET, /atart, HTTP/1.1, 404, 0.000529
127.0.0.1, 2018-10-24 19:38:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000272
127.0.0.1, 2018-10-24 19:38:10, GET, /start, HTTP/1.1, 200, 0.160422
127.0.0.1, 2018-10-24 19:38:10, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.000774
127.0.0.1, 2018-10-24 19:38:10, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.003483
127.0.0.1, 2018-10-24 19:38:10, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000705
127.0.0.1, 2018-10-24 19:38:10, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000790
127.0.0.1, 2018-10-24 19:38:10, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.001163
127.0.0.1, 2018-10-24 19:38:10, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001362
127.0.0.1, 2018-10-24 19:38:10, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001169
127.0.0.1, 2018-10-24 19:38:10, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000800
127.0.0.1, 2018-10-24 19:38:10, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000818
127.0.0.1, 2018-10-24 19:38:10, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.008066
127.0.0.1, 2018-10-24 19:38:10, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.006238
127.0.0.1, 2018-10-24 19:38:10, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000469
127.0.0.1, 2018-10-24 19:38:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001338
127.0.0.1, 2018-10-24 19:38:18, GET, /start/default/user/register, HTTP/1.1, 200, 0.034446
127.0.0.1, 2018-10-24 19:38:18, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000707
127.0.0.1, 2018-10-24 19:38:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000293
127.0.0.1, 2018-10-24 19:38:35, POST, /start/default/user/register, HTTP/1.1, 500, 0.193415
127.0.0.1, 2018-10-24 19:38:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000288
127.0.0.1, 2018-10-24 19:38:42, GET, /start/default/user/register, HTTP/1.1, 200, 0.036629
127.0.0.1, 2018-10-24 19:38:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000304
127.0.0.1, 2018-10-24 19:38:50, POST, /start/default/user/register, HTTP/1.1, 500, 0.061109
127.0.0.1, 2018-10-24 19:38:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000208
127.0.0.1, 2018-10-24 19:38:52, GET, /start/default/user/register, HTTP/1.1, 200, 0.049201
127.0.0.1, 2018-10-24 19:38:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000412
127.0.0.1, 2018-10-24 19:39:30, GET, /admin/default/site, HTTP/1.1, 303, 0.397873
127.0.0.1, 2018-10-24 19:39:30, GET, /admin/default/index, HTTP/1.1, 200, 0.049637
127.0.0.1, 2018-10-24 19:39:30, GET, /admin/static/_2.17.2/css/calendar.css, HTTP/1.1, 200, 0.010093
127.0.0.1, 2018-10-24 19:39:30, GET, /admin/static/_2.17.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002514
127.0.0.1, 2018-10-24 19:39:30, GET, /admin/static/_2.17.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000848
127.0.0.1, 2018-10-24 19:39:30, GET, /admin/static/_2.17.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002203
127.0.0.1, 2018-10-24 19:39:30, GET, /admin/static/_2.17.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.041207
127.0.0.1, 2018-10-24 19:39:30, GET, /admin/static/_2.17.2/js/calendar.js, HTTP/1.1, 200, 0.109961
